,Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
0,1,China,Asiatic Region,300609,298327,2399122,1486569,7.98,357
1,2,United States,Northern America,198401,191691,4207197,1236659,21.21,612
2,3,India,Asiatic Region,106938,103978,568797,219270,5.32,186
3,4,Japan,Asiatic Region,66700,65123,534860,130717,8.02,200
4,5,United Kingdom,Western Europe,62019,58925,1165204,203247,18.79,334
5,6,Germany,Western Europe,52406,50252,764825,158473,14.59,264
6,7,France,Western Europe,38691,37189,585194,109770,15.12,235
7,8,Italy,Western Europe,37090,34634,477631,114860,12.88,205
8,9,Canada,Northern America,33673,32498,749666,83664,22.26,263
9,10,Spain,Western Europe,32780,31006,508141,104882,15.5,223
10,11,Australia,Pacific Region,31164,29865,512225,71602,16.44,231
11,12,South Korea,Asiatic Region,30749,30199,319919,44369,10.4,169
12,13,Taiwan,Asiatic Region,27003,26483,415686,63052,15.39,199
13,14,Brazil,Latin America,20488,20004,167188,36296,8.16,132
14,15,Iran,Middle East,17942,17722,200793,50003,11.19,137
15,16,Indonesia,Asiatic Region,16762,16639,40506,15758,2.42,45
16,17,Netherlands,Western Europe,16485,15677,306425,38146,18.59,190
17,18,Turkey,Middle East,15732,15515,208436,32408,13.25,172
18,19,Russian Federation,Eastern Europe,15384,14988,55366,20681,3.6,69
19,20,Malaysia,Asiatic Region,14770,14515,119640,22456,8.1,120
20,21,Singapore,Asiatic Region,13857,13388,312841,29854,22.58,210
21,22,Poland,Eastern Europe,13688,12846,140996,41219,10.3,120
22,23,Hong Kong,Asiatic Region,13230,12919,336377,28673,25.43,208
23,24,Switzerland,Western Europe,10840,10235,263381,23551,24.3,193
24,25,Greece,Western Europe,10674,10313,128406,18546,12.03,129
25,26,Portugal,Western Europe,10302,9683,107243,17573,10.41,116
26,27,Romania,Eastern Europe,9950,9754,45457,9860,4.57,70
27,28,Sweden,Western Europe,9841,9467,116384,15814,11.83,116
28,29,Mexico,Latin America,9383,8776,77352,15941,8.24,106
29,30,Belgium,Western Europe,8790,8395,189544,19436,21.56,156
30,31,Austria,Western Europe,8736,8255,104850,17409,12.0,112
31,32,Czech Republic,Eastern Europe,8629,8382,78780,19026,9.13,99
32,33,Saudi Arabia,Middle East,8447,8270,95935,13535,11.36,116
33,34,Thailand,Asiatic Region,8144,7832,33355,5318,4.1,62
34,35,Pakistan,Asiatic Region,8138,8004,61333,16425,7.54,83
35,36,Finland,Western Europe,7751,7535,156802,15858,20.23,142
36,37,Israel,Middle East,6962,6735,197838,19401,28.42,176
37,38,Bangladesh,Asiatic Region,6647,6557,26599,6769,4.0,50
38,39,Egypt,Africa/Middle East,6620,6312,60806,10759,9.19,100
39,40,Denmark,Western Europe,5815,5539,65874,9405,11.33,92
40,41,South Africa,Africa,5589,5355,34238,5814,6.13,69
41,42,Viet Nam,Asiatic Region,5412,5176,33728,7490,6.23,67
42,43,United Arab Emirates,Middle East,5222,5054,30524,4331,5.85,62
43,44,Hungary,Eastern Europe,5220,5115,34997,8424,6.7,71
44,45,Norway,Western Europe,5192,5014,49784,6621,9.59,80
45,46,Ireland,Western Europe,5104,4890,50767,6122,9.95,87
46,47,Morocco,Africa,4833,4684,18966,5309,3.92,45
47,48,New Zealand,Pacific Region,4567,4380,59081,7070,12.94,95
48,49,Algeria,Africa,4401,4335,27075,4650,6.15,64
49,50,Tunisia,Africa,4301,4212,23529,6440,5.47,52
50,51,Ukraine,Eastern Europe,3997,3884,12964,8729,3.24,35
51,52,Slovakia,Eastern Europe,3679,3618,25235,7126,6.86,61
52,53,Philippines,Asiatic Region,3353,3342,8611,3068,2.57,31
53,54,Colombia,Latin America,3272,3182,15606,2216,4.77,50
54,55,Iraq,Middle East,3209,3187,14200,3644,4.43,45
55,56,Bulgaria,Eastern Europe,2902,2713,10729,2799,3.7,39
56,57,Serbia,Eastern Europe,2745,2670,23216,4684,8.46,60
57,58,Chile,Latin America,2610,2531,26199,4129,10.04,69
58,59,Jordan,Middle East,2519,2443,24517,3946,9.73,67
59,60,Slovenia,Eastern Europe,2486,2357,52100,5684,20.96,87
60,61,Sri Lanka,Asiatic Region,2434,2395,5720,1328,2.35,27
